#Parameters = {distance_slot=0.6; distance_wg=1; h_wg=5; l1_slot=15; l2_slot=1; l_wg=110; lambda=30; t_wg=0.1; w_wg=21.94; Mesh Pass=3}
#"Z / mm"	"h-field_center_1 (Mesh Pass=3) [Re]"	"h-field_center_1 (Mesh Pass=3) [Im]"
#------------------------------------------------------------------------------------
-4.1250000000000	-0.30620878934860	1.1716699600220
-3.9875000000000	-0.25470876693726	1.1642181873322
-3.8500000000000	-0.20341640710831	1.1561992168427
-3.7125000000000	-0.15212413668633	1.1481802463531
-3.5750000000000	-0.10083177685738	1.1401611566544
-3.4375000000000	-0.049539402127266	1.1321421861649
-3.3000000000000	0.00058837048709393	1.1229366064072
-3.1625000000000	0.050548411905766	1.1135601997375
-3.0250000000000	0.10050837695599	1.1041837930679
-2.8875000000000	0.15046840906143	1.0948072671890
-2.7500000000000	0.20022472739220	1.0853204727173
-2.6125000000000	0.24814614653587	1.0748388767242
-2.4750000000000	0.29606759548187	1.0643570423126
-2.3375000000000	0.34398895502090	1.0538754463196
-2.2000000000000	0.39191037416458	1.0433938503265
-2.0625000000000	0.43900841474533	1.0326329469681
-1.9250000000000	0.48440212011337	1.0212936401367
-1.7875000000000	0.52979582548141	1.0099544525146
-1.6500000000000	0.57518953084946	0.99861526489258
-1.5125000000000	0.62058323621750	0.98727607727051
-1.3750000000000	0.66395449638367	0.97542178630829
-1.2375000000000	0.70719802379608	0.96353495121002
-1.1000000000000	0.74960386753082	0.95146936178207
-0.96250000000000	0.79119139909744	0.93922907114029
-0.82500000000000	0.83265745639801	0.92696475982666
-0.68749999999999	0.87253737449646	0.91438674926758
-0.55000000000000	0.91241735219955	0.90180885791779
-0.41249999999999	0.95133298635483	0.88904923200607
-0.27500000000000	0.98969757556915	0.87618589401245
-0.13750000000000	1.0269877910614	0.86313205957413
7.1054273576010e-15	1.0640394687653	0.85003590583801
0.13750000000000	1.0997520685196	0.83672362565994
0.27500000000001	1.1352133750916	0.82337629795074
0.41250000000000	1.1695425510406	0.80987167358398
0.55000000000000	1.2032506465912	0.79630005359650
0.68750000000001	1.2358710765839	0.78261125087738
